"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Denver Broncos","","52.4","12.5","11.1","15.7","2.6","0.5","341.3","5,386.5","116.3"
"Buffalo Bills","","45.4","14.0","12.8","21.2","2.7","0.5","344.8","5,806.7","116.3"
"Philadelphia Eagles","","45.7","13.5","13.3","22.5","2.7","0.0","344.3","5,511.1","115.6"
"Houston Texans","","47.2","15.5","10.0","14.1","2.7","0.5","348.3","5,478.1","115.3"
"Baltimore Ravens","","52.4","13.9","9.7","13.7","2.3","0.0","340.7","5,348.5","113.3"
"Dallas Cowboys","","51.9","12.0","10.3","16.5","2.6","0.0","397.5","5,928.8","111.7"
"Pittsburgh Steelers","","43.8","13.8","12.1","20.1","2.5","0.0","347.4","5,679.0","110.7"
"Green Bay Packers","","46.1","12.5","11.7","18.4","2.2","0.5","363.0","5,648.1","108.6"
"Minnesota Vikings","","45.7","13.5","10.3","15.2","2.5","0.0","356.6","5,300.1","108.5"
"New York Giants","","50.8","10.5","11.9","19.2","2.1","0.0","419.9","5,850.2","108.3"
"Detroit Lions","","43.2","13.8","9.6","14.2","2.5","0.0","374.8","5,784.9","104.9"
"San Francisco 49ers","","42.9","13.5","8.9","14.1","2.3","1.0","384.2","5,638.7","103.6"
"Los Angeles Chargers","","46.8","12.3","9.9","15.3","2.1","0.0","371.0","5,794.9","103.5"
"Tampa Bay Buccaneers","","44.3","11.7","11.0","16.7","2.0","0.5","374.8","5,742.5","102.9"
"Kansas City Chiefs","","45.5","12.1","9.3","13.8","2.2","0.5","347.1","5,578.4","102.7"
"Washington Commanders","","45.9","11.1","10.3","16.0","2.1","0.5","399.2","6,108.5","102.4"
"Indianapolis Colts","","41.9","12.8","9.6","15.8","2.2","1.0","407.8","5,852.1","102.0"
"Los Angeles Rams","","44.7","12.7","8.7","14.3","2.3","0.5","375.7","5,910.6","102.0"
"Seattle Seahawks","","45.0","12.9","8.6","14.2","2.0","0.5","362.2","5,632.5","101.2"
"Chicago Bears","","40.5","13.0","10.2","17.3","2.2","0.5","386.8","5,919.6","100.9"
"Cleveland Browns","","44.9","11.1","9.2","14.4","2.2","0.0","417.7","5,983.7","98.7"
"New York Jets","","43.1","12.3","9.5","14.3","1.8","0.5","387.2","5,399.6","98.5"
"Arizona Cardinals","","41.4","11.7","8.9","14.7","2.1","1.0","398.5","5,807.3","97.1"
"Cincinnati Bengals","","40.1","12.4","9.3","14.7","2.1","0.0","422.2","6,154.1","96.2"
"Las Vegas Raiders","","42.5","11.0","8.0","12.5","1.9","0.5","418.2","5,762.8","93.1"
"Miami Dolphins","","40.0","11.4","8.7","13.1","2.0","0.5","392.6","5,708.0","93.0"
"Atlanta Falcons","","39.1","11.7","8.5","14.0","1.9","0.5","412.5","6,023.8","92.2"
"Jacksonville Jaguars","","38.8","12.0","8.2","11.2","2.0","0.5","413.2","5,852.0","91.9"
"New Orleans Saints","","37.9","13.1","7.6","9.7","1.8","0.0","389.7","5,855.2","90.1"
"Tennessee Titans","","39.6","10.9","8.6","13.8","1.7","0.5","421.1","5,702.6","89.9"
"New England Patriots","","36.1","11.5","8.2","11.7","1.6","0.0","402.3","5,521.0","85.3"
"Carolina Panthers","","34.7","11.2","7.8","11.4","1.7","0.0","442.1","6,334.6","83.0"
""
""
