"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Saquon Barkley","PHI","RB1","327.8","1,661.7","10.8","41.9","318.2","2.2","1.4","273.2"
"Bijan Robinson","ATL","RB2","304.4","1,420.0","11.4","56.9","428.7","2.1","1.4","263.4"
"Jahmyr Gibbs","DET","RB3","239.9","1,239.5","11.7","57.7","508.7","2.8","1.3","258.9"
"Derrick Henry","BAL","RB4","295.2","1,508.3","13.3","16.4","153.1","0.9","1.4","248.4"
"Ja'Marr Chase","CIN","WR1","1.6","12.7","0.0","120.7","1,577.4","12.2","0.6","231.2"
"Christian McCaffrey","SF","RB5","233.2","1,062.6","7.9","65.1","569.9","3.6","1.8","228.4"
"Josh Jacobs","GB","RB6","284.2","1,211.8","11.3","38.1","316.0","1.5","1.5","226.1"
"De'Von Achane","MIA","RB7","223.3","1,032.9","7.8","69.5","513.7","4.1","1.3","223.1"
"Ashton Jeanty","LV","RB8","273.0","1,203.8","9.0","46.3","366.3","1.9","2.4","217.4"
"Jonathan Taylor","IND","RB9","297.7","1,359.0","9.6","25.7","194.4","1.1","1.6","216.5"
"Kyren Williams","LAR","RB10","275.7","1,192.4","11.2","33.6","213.7","1.7","2.3","213.1"
"Justin Jefferson","MIN","WR2","0.5","2.2","0.0","106.4","1,480.9","9.8","0.6","205.6"
"Bucky Irving","TB","RB11","234.5","1,110.7","8.3","44.4","343.2","1.7","1.4","202.5"
"Chase Brown","CIN","RB12","234.6","984.0","7.8","54.0","377.4","2.7","1.4","196.3"
"James Cook","BUF","RB13","222.0","1,049.7","9.5","31.4","258.5","1.9","1.4","196.1"
"CeeDee Lamb","DAL","WR3","9.2","59.4","0.3","111.5","1,393.7","8.0","1.0","193.2"
"Puka Nacua","LAR","WR4","10.7","61.4","0.6","104.9","1,363.9","7.0","0.6","186.7"
"Nico Collins","HOU","WR5","0.0","1.6","0.0","92.0","1,313.4","8.8","0.5","183.5"
"Malik Nabers","NYG","WR6","2.6","12.2","0.0","106.8","1,339.9","8.2","0.6","183.5"
"Breece Hall","NYJ","RB14","224.3","1,000.0","5.9","46.9","385.4","2.1","1.9","182.8"
"James Conner","ARI","RB15","213.9","971.3","7.8","41.2","314.9","1.7","1.4","182.7"
"Brian Thomas Jr.","JAC","WR7","3.8","25.1","0.0","91.8","1,292.7","8.6","0.6","182.1"
"Kenneth Walker III","SEA","RB16","234.8","968.3","8.2","43.3","309.2","1.3","1.3","181.9"
"Omarion Hampton","LAC","RB17","222.7","970.8","8.5","35.7","276.4","1.5","2.1","180.5"
"Amon-Ra St. Brown","DET","WR8","1.9","12.6","0.1","110.4","1,267.5","8.9","0.9","179.6"
"Alvin Kamara","NO","RB18","215.5","903.5","5.1","63.0","475.5","2.0","1.3","178.1"
"Chuba Hubbard","CAR","RB19","229.8","1,031.7","7.6","37.8","229.8","1.1","1.8","174.3"
"A.J. Brown","PHI","WR9","0.0","0.0","0.0","84.8","1,244.5","8.4","0.9","172.8"
"Drake London","ATL","WR10","0.3","2.0","0.0","95.6","1,218.6","8.2","0.6","169.9"
"Tyreek Hill","MIA","WR11","7.2","40.3","0.1","94.0","1,182.1","7.7","0.6","168.2"
"D'Andre Swift","CHI","RB20","238.7","967.1","6.1","36.5","282.9","1.2","1.1","167.0"
"David Montgomery","DET","RB21","196.6","819.0","8.9","31.4","258.4","0.9","1.0","164.5"
"Mike Evans","TB","WR12","0.0","0.0","0.0","78.8","1,059.5","9.9","0.5","164.1"
"Ladd McConkey","LAC","WR13","0.0","1.4","0.0","90.5","1,210.8","7.4","0.7","164.0"
"Tee Higgins","CIN","WR14","0.0","0.0","0.0","86.6","1,093.8","8.9","0.9","161.1"
"Aaron Jones Sr.","MIN","RB22","198.9","890.9","4.6","45.0","331.4","2.3","1.8","159.8"
"Terry McLaurin","WAS","WR15","1.1","4.8","0.0","83.6","1,115.0","8.2","0.9","159.6"
"Davante Adams","LAR","WR16","0.3","0.0","0.0","85.4","1,101.4","8.3","0.5","159.2"
"Joe Mixon","HOU","RB23","206.7","822.4","7.5","33.4","258.6","1.3","0.9","159.2"
"Tony Pollard","TEN","RB24","227.5","958.5","5.4","40.2","257.9","0.9","1.0","157.2"
"DK Metcalf","PIT","WR17","0.0","1.2","0.0","77.8","1,137.6","7.3","1.3","154.9"
"TreVeyon Henderson","NE","RB25","202.6","891.8","5.7","33.3","258.7","1.5","1.7","154.8"
"Marvin Harrison Jr.","ARI","WR18","0.0","3.2","0.0","79.6","1,098.7","7.7","1.0","154.5"
"Jaxon Smith-Njigba","SEA","WR19","2.6","20.5","0.0","94.7","1,120.6","6.6","0.6","152.8"
"Brock Bowers","LV","TE1","0.0","8.0","0.0","106.0","1,131.5","6.1","0.5","149.7"
"George Kittle","SF","TE2","0.0","0.0","0.0","76.0","1,036.9","7.5","0.5","147.6"
"Xavier Worthy","KC","WR20","15.7","84.6","1.5","70.6","872.4","7.1","0.5","146.4"
"Brian Robinson Jr.","WAS","RB26","196.7","809.4","7.3","23.4","175.7","1.0","1.4","145.6"
"Zay Flowers","BAL","WR21","8.2","48.4","0.1","74.9","1,028.6","6.3","0.5","145.2"
"Isiah Pacheco","KC","RB27","203.5","838.2","5.7","32.9","224.8","1.0","1.0","144.8"
"Kaleb Johnson","PIT","RB28","202.7","849.1","6.6","23.2","178.0","1.0","1.7","144.7"
"Garrett Wilson","NYJ","WR22","1.9","13.5","0.0","91.7","1,095.9","6.0","1.3","144.6"
"Courtland Sutton","DEN","WR23","0.0","0.2","0.0","76.7","1,016.2","7.4","0.9","144.3"
"DJ Moore","CHI","WR24","9.5","54.0","0.1","86.7","1,007.3","6.3","0.9","142.7"
"Calvin Ridley","TEN","WR25","5.6","33.4","0.3","70.1","1,026.9","6.0","0.9","141.9"
"Jameson Williams","DET","WR26","7.4","63.4","0.8","60.4","958.3","6.0","0.5","141.7"
"RJ Harvey","DEN","RB29","174.0","761.8","5.2","33.6","257.3","1.6","1.0","140.9"
"Trey McBride","ARI","TE3","0.0","1.5","0.0","104.4","1,053.1","5.8","0.5","139.4"
"Tyrone Tracy Jr.","NYG","RB30","188.6","802.0","5.0","35.2","259.8","1.1","1.6","139.2"
"DeVonta Smith","PHI","WR27","0.3","1.2","0.0","81.2","977.5","6.8","0.5","137.7"
"George Pickens","DAL","WR28","1.0","6.2","0.0","68.4","1,001.3","6.4","0.9","137.3"
"Deebo Samuel Sr.","WAS","WR29","30.1","127.9","1.2","65.1","834.2","5.1","1.0","132.2"
"Jerry Jeudy","CLE","WR30","0.3","4.8","0.0","80.8","1,081.2","4.1","0.6","131.8"
"Jaylen Warren","PIT","RB31","148.8","679.7","3.8","47.7","348.8","1.1","1.0","129.9"
"Jakobi Meyers","LV","WR31","1.2","8.9","0.0","82.4","966.4","5.3","0.5","128.5"
"Jauan Jennings","SF","WR32","3.6","15.7","0.1","71.1","939.0","5.5","0.6","127.8"
"Jaylen Waddle","MIA","WR33","2.5","15.9","0.1","75.5","964.8","4.9","0.5","126.6"
"Tetairoa McMillan","CAR","WR34","0.5","7.4","0.0","71.9","927.4","5.5","1.2","123.9"
"Jayden Reed","GB","WR35","11.8","93.7","0.7","58.2","779.7","5.5","0.9","123.1"
"Rashee Rice","KC","WR36","1.1","4.5","0.0","72.9","854.2","6.1","0.6","121.4"
"Travis Hunter","JAC","WR37","3.8","21.8","0.1","68.4","887.2","5.2","0.8","121.2"
"Ricky Pearsall","SF","WR38","7.0","50.0","0.3","61.5","835.1","5.2","0.6","120.3"
"Matthew Golden","GB","WR39","0.5","9.4","0.0","60.9","847.2","6.0","0.8","120.0"
"Chris Godwin","TB","WR40","1.2","6.9","0.0","75.0","862.3","5.6","0.6","119.6"
"Rome Odunze","CHI","WR41","1.3","8.0","0.0","65.6","880.0","5.4","0.9","119.2"
"J.K. Dobbins","DEN","RB32","148.4","658.0","4.9","29.2","187.9","1.2","1.2","118.9"
"Chris Olave","NO","WR42","0.3","2.8","0.0","76.4","946.2","4.4","1.3","118.6"
"Keon Coleman","BUF","WR43","0.3","3.8","0.0","52.4","822.4","6.1","0.5","118.3"
"Jordan Mason","MIN","RB33","163.9","754.4","4.4","17.6","128.3","0.7","0.7","117.9"
"Jordan Addison","MIN","WR44","1.2","11.2","0.3","60.9","799.9","6.0","0.4","117.7"
"Javonte Williams","DAL","RB34","174.9","645.7","4.2","35.9","229.2","1.1","0.9","117.5"
"Mark Andrews","BAL","TE4","0.0","2.0","0.0","59.9","721.0","7.8","0.8","117.3"
"Stefon Diggs","NE","WR45","1.3","6.9","0.2","77.4","850.3","5.1","0.5","116.8"
"Sam LaPorta","DET","TE5","0.0","0.0","0.0","67.9","763.8","6.7","0.4","115.6"
"Cooper Kupp","SEA","WR46","1.3","8.9","0.0","73.3","818.3","5.4","0.6","113.9"
"Rashid Shaheed","NO","WR47","7.3","44.5","0.1","56.4","846.1","4.4","1.3","113.8"
"Rhamondre Stevenson","NE","RB35","156.7","636.8","4.8","28.0","177.1","1.1","1.5","113.5"
"Travis Etienne Jr.","JAC","RB36","141.1","577.1","3.7","37.7","279.0","1.2","0.9","112.7"
"Austin Ekeler","WAS","RB37","95.3","414.8","4.1","44.7","367.0","1.8","1.0","111.2"
"Khalil Shakir","BUF","WR48","0.3","3.0","0.0","71.6","812.4","4.9","0.6","109.9"
"Darnell Mooney","ATL","WR49","0.0","1.2","0.0","59.2","828.5","4.6","0.5","109.5"
"Zach Charbonnet","SEA","RB38","126.7","536.0","4.5","33.2","244.8","0.9","0.8","108.8"
"Michael Pittman Jr.","IND","WR50","0.0","1.8","0.0","71.9","852.4","4.0","0.9","107.3"
"T.J. Hockenson","MIN","TE6","0.0","0.0","0.0","76.3","800.3","4.6","0.5","106.9"
"Travis Kelce","KC","TE7","0.0","0.5","0.0","80.8","767.3","5.3","0.9","106.7"
"Marvin Mims Jr.","DEN","WR51","11.9","49.4","0.1","51.2","696.5","5.4","0.6","106.5"
"Quinshon Judkins","CLE","RB39","145.8","620.4","3.9","21.2","160.4","0.9","1.2","104.1"
"Najee Harris","LAC","RB40","138.7","558.9","4.8","21.8","158.1","0.8","0.8","103.6"
