"Rank","Player","Team","Bye","POS","AVG"
"1","Ja'Marr Chase","CIN","10","WR1","1.0"
"2","Bijan Robinson","ATL","5","RB1","2.0"
"3","Saquon Barkley","PHI","9","RB2","3.0"
"4","Justin Jefferson","MIN","6","WR2","4.5"
"5","Jahmyr Gibbs","DET","8","RB3","4.5"
"6","CeeDee Lamb","DAL","10","WR3","6.0"
"7","Christian McCaffrey","SF","14","RB4","7.5"
"8","Derrick Henry","BAL","7","RB5","9.5"
"9","Ashton Jeanty","LV","8","RB6","10.5"
"10","Puka Nacua","LAR","8","WR4","11.0"
"11","Amon-Ra St. Brown","DET","8","WR5","11.0"
"12","Malik Nabers","NYG","14","WR6","11.0"
"13","De'Von Achane","MIA","12","RB7","11.5"
"14","Josh Jacobs","GB","5","RB8","14.5"
"15","Nico Collins","HOU","6","WR7","14.5"
"16","Brian Thomas Jr.","JAC","8","WR8","16.5"
"17","Lamar Jackson","BAL","7","QB1","18.5"
"18","Jonathan Taylor","IND","11","RB9","18.5"
"19","Josh Allen","BUF","7","QB2","18.5"
"20","Brock Bowers","LV","8","TE1","21.0"
"21","A.J. Brown","PHI","9","WR9","21.5"
"22","Bucky Irving","TB","9","RB10","21.5"
"23","Drake London","ATL","5","WR10","23.0"
"24","Chase Brown","CIN","10","RB11","23.5"
"25","Kyren Williams","LAR","8","RB12","25.0"
"26","Joe Burrow","CIN","10","QB3","28.5"
"27","Jayden Daniels","WAS","12","QB4","28.5"
"28","Tee Higgins","CIN","10","WR11","29.0"
"29","Jalen Hurts","PHI","9","QB5","29.5"
"30","Ladd McConkey","LAC","12","WR12","29.5"
"31","Trey McBride","ARI","8","TE2","30.0"
"32","James Cook","BUF","7","RB13","30.0"
"33","Alvin Kamara","NO","11","RB14","33.0"
"34","Tyreek Hill","MIA","12","WR13","33.0"
"35","Davante Adams","LAR","8","WR14","34.5"
"36","Kenneth Walker III","SEA","8","RB15","36.0"
"37","George Kittle","SF","14","TE3","37.0"
"38","Jaxon Smith-Njigba","SEA","8","WR15","38.5"
"39","Terry McLaurin","WAS","12","WR16","40.0"
"40","Mike Evans","TB","9","WR17","40.0"
"41","Omarion Hampton","LAC","12","RB16","40.0"
"42","Breece Hall","NYJ","9","RB17","42.0"
"43","Chuba Hubbard","CAR","14","RB18","43.5"
"44","Garrett Wilson","NYJ","9","WR18","44.0"
"45","Patrick Mahomes II","KC","10","QB6","45.0"
"46","Marvin Harrison Jr.","ARI","8","WR19","45.0"
"47","James Conner","ARI","8","RB19","45.5"
"48","DK Metcalf","PIT","5","WR20","47.0"
"49","Xavier Worthy","KC","10","WR21","49.5"
"50","TreVeyon Henderson","NE","14","RB20","49.5"
"51","Sam LaPorta","DET","8","TE4","52.5"
"52","DJ Moore","CHI","5","WR22","53.0"
"53","Baker Mayfield","TB","9","QB7","53.5"
"54","D'Andre Swift","CHI","5","RB21","54.0"
"55","Courtland Sutton","DEN","12","WR23","56.0"
"56","David Montgomery","DET","8","RB22","58.0"
"57","Zay Flowers","BAL","7","WR24","59.0"
"58","Travis Kelce","KC","10","TE5","59.0"
"59","DeVonta Smith","PHI","9","WR25","59.0"
"60","Aaron Jones Sr.","MIN","6","RB23","59.5"
"61","T.J. Hockenson","MIN","6","TE6","62.5"
"62","George Pickens","DAL","10","WR26","63.5"
"63","Calvin Ridley","TEN","10","WR27","64.0"
"64","Rashee Rice","KC","10","WR28","65.5"
"65","RJ Harvey","DEN","12","RB24","67.0"
"66","Jameson Williams","DET","8","WR29","67.0"
"67","Bo Nix","DEN","12","QB8","67.5"
"68","Tony Pollard","TEN","10","RB25","68.0"
"69","Isiah Pacheco","KC","10","RB26","68.0"
"70","Tetairoa McMillan","CAR","14","WR30","69.0"
"71","Jerry Jeudy","CLE","9","WR31","69.5"
"72","Mark Andrews","BAL","7","TE7","71.0"
"73","Joe Mixon","HOU","6","RB27","73.0"
"74","Jaylen Waddle","MIA","12","WR32","73.0"
"75","Travis Hunter","JAC","8","WR33","74.0"
"76","David Njoku","CLE","9","TE8","75.5"
"77","Jakobi Meyers","LV","8","WR34","77.0"
"78","Kyler Murray","ARI","8","QB9","77.0"
"79","Tyrone Tracy Jr.","NYG","14","RB28","80.5"
"80","Kaleb Johnson","PIT","5","RB29","84.5"
