"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Josh Allen","BUF","522.5","334.8","3,922.9","29.0","10.5","115.7","571.6","10.7","3.4","376.9"
"Lamar Jackson","BAL","480.7","321.3","3,890.9","32.4","8.3","134.7","827.7","3.9","4.5","374.1"
"Jalen Hurts","PHI","461.3","311.5","3,535.6","23.7","8.9","147.3","633.2","12.6","3.9","358.7"
"Jayden Daniels","WAS","533.1","362.3","3,880.1","26.7","10.6","137.2","749.8","5.6","2.5","354.9"
"Joe Burrow","CIN","626.7","434.1","4,661.4","35.8","10.5","48.2","179.8","2.1","3.8","342.2"
"Patrick Mahomes II","KC","605.4","409.9","4,282.9","30.3","12.2","75.5","367.2","2.8","2.5","328.9"
"Baker Mayfield","TB","555.3","384.6","4,171.4","32.6","14.7","64.2","287.5","2.6","3.9","319.0"
"Kyler Murray","ARI","542.7","367.7","3,829.5","24.3","11.2","88.4","550.9","5.1","3.8","317.1"
"Brock Purdy","SF","524.9","350.8","4,301.3","26.9","12.5","65.0","281.0","3.6","2.9","311.1"
"Bo Nix","DEN","560.3","366.4","3,805.2","27.3","12.1","88.7","422.3","3.5","2.0","308.8"
"Justin Fields","NYJ","497.5","309.4","3,249.2","19.4","11.1","135.3","745.0","6.1","3.8","299.9"
"J.J. McCarthy","MIN","563.3","366.9","4,084.8","28.4","14.5","57.3","258.1","2.0","3.8","292.6"
"Dak Prescott","DAL","602.3","396.4","4,255.5","27.7","12.2","42.5","178.5","1.9","3.0","291.7"
"Justin Herbert","LAC","539.4","353.8","3,972.9","25.8","8.6","65.4","271.9","2.6","2.5","291.4"
"Caleb Williams","CHI","565.2","359.1","3,783.3","23.7","10.4","86.6","469.3","2.4","4.5","288.2"
"Jared Goff","DET","550.6","380.9","4,355.8","30.1","11.5","30.3","61.5","0.5","2.9","286.5"
"C.J. Stroud","HOU","560.0","360.0","4,068.2","25.0","10.6","58.7","257.0","1.7","3.7","280.6"
