timestamp_iso,overall,round,pick_in_round,team_manager,player,pos,nfl_team,raw_text
"2025-08-21T16:49:43.875Z",1,1,1,"Mike Ock","Bijan Robinson","RB","ATL","1 Bijan Robinson Atl RB Mike Ock 341.7 335.8 2"
"2025-08-21T16:49:43.876Z",2,1,2,"The Letti Empire","CeeDee Lamb","WR","DAL","2 CeeDee Lamb Dal WR The Letti Empire 263.4 315 6"
"2025-08-21T16:49:43.876Z",3,1,3,"miracle on turf","Saquon Barkley","RB","PHI","3 Saquon Barkley Phi RB miracle on turf 355.3 325.1 4"
"2025-08-21T16:49:43.876Z",4,1,4,"Greg Schiano, National Champion","Jahmyr Gibbs","RB","DET","4 Jahmyr Gibbs Det RB Greg Schiano, National Champion 362.9 317.1 5"
"2025-08-21T16:49:43.876Z",5,1,5,"Denver Decleaters","Justin Jefferson","WR","MIN","5 Justin Jefferson Q Min WR Denver Decleaters 317.5 324.5 3"
"2025-08-21T16:49:43.876Z",6,1,6,"The 0-3 toasterbaths","Ja'Marr Chase","WR","CIN","6 Ja'Marr Chase Cin WR The 0-3 toasterbaths 403 339 1"
"2025-08-21T16:49:43.876Z",7,1,7,"THE Wisconsin Lock Sauce","Puka Nacua","WR","LAR","7 Puka Nacua LAR WR THE Wisconsin Lock Sauce 206.6 310 8"
"2025-08-21T16:49:43.876Z",8,1,8,"NEXT MAN UP","De'Von Achane","RB","MIA","8 De'Von Achane Q Mia RB NEXT MAN UP 299.9 306.3 12"
"2025-08-21T16:49:43.876Z",9,1,9,"You Ted Gin III","Amon-Ra St. Brown","WR","DET","9 Amon-Ra St. Brown Det WR You Ted Gin III 317.2 290.3 10"
"2025-08-21T16:49:43.876Z",10,1,10,"AFL Maverick","Christian McCaffrey","RB","SF","10 Christian McCaffrey SF RB AFL Maverick 47.8 322.1 7"
"2025-08-21T16:49:43.876Z",11,1,11,"Matthew's Monstrous Team","Ashton Jeanty","RB","LV","11 Ashton Jeanty LV RB Matthew's Monstrous Team - 298 11"
"2025-08-21T16:49:43.876Z",12,1,12,"King Ham","Malik Nabers","WR","NYG","12 Malik Nabers Q NYG WR King Ham 273.6 300.1 9"
"2025-08-21T16:49:43.876Z",13,1,13,"BLACK DOG -100","Nico Collins","WR","HOU","13 Nico Collins Hou WR BLACK DOG -100 210.6 278.6 13"
"2025-08-21T16:49:43.876Z",14,1,14,"RAT PAKK","Brian Thomas Jr.","WR","JAX","14 Brian Thomas Jr. Jax WR RAT PAKK 284 270.7 14"
"2025-08-21T16:49:43.876Z",15,2,14,"RAT PAKK","Drake London","WR","ATL","15 Drake London Atl WR RAT PAKK 280.8 267.5 16"
"2025-08-21T16:49:43.877Z",16,2,13,"BLACK DOG -100","Jonathan Taylor","RB","IND","16 Jonathan Taylor Ind RB BLACK DOG -100 244.7 288.2 17"
"2025-08-21T16:49:43.877Z",17,2,12,"King Ham","A.J. Brown","WR","PHI","17 A.J. Brown Q Phi WR King Ham 216.9 275.5 15"
"2025-08-21T16:49:43.877Z",18,2,11,"Matthew's Monstrous Team","Brock Bowers","TE","LV","18 Brock Bowers LV TE Matthew's Monstrous Team 262.7 261.3 20"
"2025-08-21T16:49:43.877Z",19,2,10,"AFL Maverick","Josh Jacobs","RB","GB","19 Josh Jacobs GB RB AFL Maverick 293.1 282.4 18"
"2025-08-21T16:49:43.877Z",20,2,9,"You Ted Gin III","Trey McBride","TE","ARI","20 Trey McBride Ari TE You Ted Gin III 249.8 259.3 21"
